vertex,effect,t,p_uncorrected,q_fdr,significant
0,0.07165483456423678,4.989066979463172,2.1519309428665057e-06,3.443089508586409e-05,True
1,0.009354048844989488,0.5811136022250949,0.5622912966267737,0.6350584056020032,False
2,0.03668862714844389,2.6463723183824017,0.00926551325977487,0.024774031295553587,False
3,0.023222471089319904,1.803281607765002,0.0739398017427708,0.12453019240887714,False
4,-0.01993227124362119,-1.314299887335092,0.19133821656254918,0.2741562505970854,False
5,0.031110287838072737,2.1823580418215682,0.031098751594756537,0.06785182166128699,False
6,0.04809755270915406,3.168165137129334,0.00196127572133417,0.006492498939588977,False
7,0.008247148151530668,0.6634776950145493,0.5083410871985887,0.61773094140588,False
8,0.036664078438496915,2.5227452277959865,0.012998870809010656,0.03372679993689251,False
9,-0.01170547788000653,-0.8612768583879715,0.39086240078863854,0.5003038730094573,False
10,-0.016434402558954734,-1.0884914411339381,0.2786345183692083,0.39336637887417636,False
11,0.03034433387079297,2.6989392076128484,0.007995519489777267,0.022575584441724045,False
12,0.020411196413682265,1.4964938443080802,0.13724092684189038,0.20912903137811867,False
13,-0.022149492285787963,-1.445052726670566,0.1511390784875939,0.2198386596183184,False
14,0.021445019018289067,1.5711384260218595,0.11887423059581993,0.18708075634751992,False
15,-0.0020018711093733018,-0.15236411983415032,0.8791644522881416,0.8884188149438061,False
16,-0.03348671076675853,-2.025089767399699,0.04515401844254426,0.08669571540968497,False
17,-0.009263998441286475,-0.6451943565150933,0.5200753147550128,0.6240903777060153,False
18,0.06631953303011676,4.350130152224119,2.9413852166957687e-05,0.0002353108173356615,True
19,0.011513825994741267,0.8704785062262466,0.3858367840819257,0.5003038730094573,False
20,0.03295531772320425,2.295784710424352,0.023484465775548923,0.0536787789155404,False
21,-0.003410315398965754,-0.24564330802379442,0.8063924465812233,0.8414529877369287,False
22,-0.021305893222300493,-1.558290166353485,0.12188863691340733,0.18873079264011455,False
23,0.007053880640897471,0.5452608699009155,0.5866210030921462,0.6473059344465061,False
24,0.047418576135882864,3.6986089506936706,0.00033277265539712725,0.001388964126874966,True
25,-0.0314210319565533,-2.268247379072684,0.025164341008945088,0.05618085434555182,False
26,0.06203797568149517,4.563740980912879,1.2573849836344424e-05,0.00010973541675355134,True
27,-0.007977741491544567,-0.5604429379446961,0.576258181826752,0.6432649471554441,False
28,-0.028301494462273435,-1.9283256006328084,0.05625859302392366,0.10234060464367215,False
