map,network_label,network_name,n_network_voxels,n_encoded_voxels,n_positive_voxels,n_negative_voxels,voxel_pct_of_network,voxel_pct_of_global_encoded,positive_voxel_pct_of_network,negative_voxel_pct_of_network,sum_weight,sum_abs_weight,sum_positive_weight,sum_negative_weight,mean_weight,mean_nonzero_weight,mean_abs_weight,l2_norm,cosine_similarity_binary_network,dice_coefficient_binary_network,abs_weight_contribution_pct_global,positive_weight_contribution_pct_global,l2_contribution_pct_global,map_normalization
negWeights,1,visual,8717,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
negWeights,2,som/motor,11926,952,952,0,7.9825591145396615,24.529760371038385,7.9825591145396615,0.0,174.9757913351059,174.9757913351059,174.9757913351059,0.0,0.014671791995229406,0.18379810014191797,0.014671791995229406,5.692923977971867,0.15247494376138035,0.12045296387676345,27.3319404245434,27.3319404245434,54.17554667865176,none
negWeights,3,dAttn,6835,853,853,0,12.479882955376738,21.978871424890485,12.479882955376738,0.0,113.13707438111305,113.13707438111305,113.13707438111305,0.0,0.016552607809965335,0.13263431932135175,0.016552607809965335,3.9139142797864506,0.13022776965918614,0.15920119447555056,17.67247773647479,17.67247773647479,37.24596474171649,none
negWeights,4,vAttn,7213,1586,1586,0,21.9880770830445,40.86575624838958,21.9880770830445,0.0,269.0406259223819,269.0406259223819,269.0406259223819,0.0,0.03729940744799416,0.16963469478082085,0.03729940744799416,6.916520473913217,0.30145869629608246,0.28592031728862444,42.025255627559915,42.025255627559915,65.81965247353033,none
negWeights,5,limbic,4402,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
negWeights,6,control,7341,375,375,0,5.108295872496935,9.662458129348105,5.108295872496935,0.0,65.87001491338015,65.87001491338015,65.87001491338015,0.0,0.008972894008088836,0.17565337310234705,0.008972894008088836,3.4848897435749095,0.07316073632545952,0.06683300659418998,10.289168059416463,10.289168059416463,33.163240490040195,none
negWeights,7,default,12133,115,115,0,0.9478282370394792,2.9631538263334187,0.9478282370394792,0.0,17.164451628923416,17.164451628923416,17.164451628923416,0.0,0.0014146914719297301,0.14925610112107318,0.0014146914719297301,1.647226386680526,0.01482906443795703,0.014362432871237665,2.681158152005267,2.681158152005267,15.675493006268756,none
posWeights,1,visual,8717,2224,0,2224,25.513364689686817,15.229747312196123,0.0,25.513364689686817,-369.66599676012993,369.66599676012993,0.0,-369.66599676012993,-0.04240747926581736,-0.16621672516192892,0.04240747926581736,8.564148793959241,0.09276245780451699,0.19073756432247,7.875610462944171,0.0,20.064598315807558,none
posWeights,2,som/motor,11926,395,0,395,3.3120912292470233,2.7049236458261996,0.0,3.3120912292470233,-140.33049088716507,140.33049088716507,0.0,-140.33049088716507,-0.01176676931805845,-0.3552670655371268,0.01176676931805845,7.52538310771896,0.03010585097579217,0.029778732707603,2.989694188773838,0.0,17.630916143756004,none
posWeights,3,dAttn,6835,1014,0,1014,14.835405998536942,6.943778675614599,0.0,14.835405998536942,-276.8892927914858,276.8892927914858,0.0,-276.8892927914858,-0.04051050370029053,-0.2730663636996901,0.04051050370029053,9.223042165225767,0.07846629889314971,0.09459837671424573,5.899033804834474,0.0,21.608292983599434,none
posWeights,4,vAttn,7213,366,0,366,5.0741716345487315,2.506334314866808,0.0,5.0741716345487315,-139.25306409597397,139.25306409597397,0.0,-139.25306409597397,-0.01930584556993955,-0.3804728527212404,0.01930584556993955,7.8231909133589825,0.03841431202076096,0.03355335533553355,2.966739971225755,0.0,18.328638023564295,none
posWeights,5,limbic,4402,1918,0,1918,43.571104043616536,13.134287475176333,0.0,43.571104043616536,-637.1805271804333,637.1805271804333,0.0,-637.1805271804333,-0.14474796164934878,-0.3322109109387035,0.14474796164934878,15.76363216100515,0.22500063377558865,0.20184162062615102,13.574918089917585,0.0,36.93197711975894,none
posWeights,6,control,7341,1210,0,1210,16.482768015256777,8.285968636581524,0.0,16.482768015256777,-333.54465709626675,333.54465709626675,0.0,-333.54465709626675,-0.04543586120368707,-0.27565674140187335,0.04543586120368707,10.15267249367168,0.09120583881343955,0.11028071454611739,7.106057398595453,0.0,23.786286333693518,none
posWeights,7,default,12133,7476,0,7476,61.61707739223605,51.1949599397384,0.0,61.61707739223605,-2796.94349886477,2796.94349886477,0.0,-2796.94349886477,-0.23052365440243716,-0.3741229934276043,0.23052365440243716,34.55454655332502,0.5949025905532271,0.559245960502693,59.58794608370871,0.0,80.95645151172262,none
