roi,roi_label,age_i_center,age_j_center,n_pairs_local,conditional_coupling
V_2,Tian_2,8.1,8.1,3.0,0.015196721950455072
V_2,Tian_2,8.1,8.3,6.0,0.0849431888426312
V_2,Tian_2,8.1,8.5,6.0,0.0849431888426312
V_2,Tian_2,8.1,8.7,9.0,0.12442039176585402
V_2,Tian_2,8.1,8.9,9.0,0.12442039176585402
V_2,Tian_2,8.1,9.1,12.0,0.15427387899492598
V_2,Tian_2,8.1,9.3,11.0,0.1752307440485041
V_2,Tian_2,8.1,9.5,14.0,0.19796815030203702
V_2,Tian_2,8.1,9.7,12.0,0.22080935848189334
V_2,Tian_2,8.1,9.9,15.0,0.23881047088790228
V_2,Tian_2,8.1,10.1,12.0,0.259840674676176
V_2,Tian_2,8.1,10.3,15.0,0.2770695533379198
V_2,Tian_2,8.1,10.5,15.0,0.3089965943334436
V_2,Tian_2,8.1,10.7,12.0,0.3252871577462691
V_2,Tian_2,8.1,10.9,15.0,0.33794955715244257
V_2,Tian_2,8.1,11.1,12.0,0.352102286465972
V_2,Tian_2,8.1,11.3,15.0,0.3617732627156935
V_2,Tian_2,8.1,11.5,12.0,0.3745128482666324
V_2,Tian_2,8.1,11.7,15.0,0.3832271124002646
V_2,Tian_2,8.1,11.9,12.0,0.39253762350410676
V_2,Tian_2,8.1,12.1,15.0,0.39794610838788985
V_2,Tian_2,8.1,12.3,12.0,0.4066801348373826
V_2,Tian_2,8.1,12.5,15.0,0.4117126171496987
V_2,Tian_2,8.1,12.700000000000001,12.0,0.4174909827428393
V_2,Tian_2,8.1,12.9,15.0,0.41884780368088564
V_2,Tian_2,8.1,13.1,15.0,0.42369217451221697
V_2,Tian_2,8.1,13.3,12.0,0.42509417590657295
V_2,Tian_2,8.1,13.5,15.0,0.4232435533922677
V_2,Tian_2,8.1,13.700000000000001,12.0,0.4241594297595792
V_2,Tian_2,8.1,13.9,15.0,0.41942554770816637
V_2,Tian_2,8.1,14.1,12.0,0.4163212980354672
V_2,Tian_2,8.1,14.3,15.0,0.41061382968279203
V_2,Tian_2,8.1,14.5,12.0,0.4071985152452222
V_2,Tian_2,8.1,14.700000000000001,15.0,0.3989127313176683
V_2,Tian_2,8.1,14.9,12.0,0.39247115867927634
V_2,Tian_2,8.1,15.1,15.0,0.3818677986692497
V_2,Tian_2,8.1,15.3,12.0,0.37337448250280053
V_2,Tian_2,8.1,15.5,15.0,0.3618337616110361
V_2,Tian_2,8.1,15.700000000000001,15.0,0.3375231366663682
V_2,Tian_2,8.1,15.9,12.0,0.3249579317649374
V_2,Tian_2,8.1,16.1,15.0,0.3080944746163194
V_2,Tian_2,8.1,16.3,12.0,0.29367569436853613
V_2,Tian_2,8.1,16.5,15.0,0.2734668852838616
V_2,Tian_2,8.1,16.700000000000003,12.0,0.2569700169475413
V_2,Tian_2,8.1,16.9,15.0,0.23818052975009468
V_2,Tian_2,8.1,17.1,12.0,0.21880794267662373
V_2,Tian_2,8.1,17.3,15.0,0.1976519183828029
V_2,Tian_2,8.1,17.5,12.0,0.17733067428370977
V_2,Tian_2,8.1,17.700000000000003,12.0,0.17733067428370977
V_2,Tian_2,8.1,17.9,9.0,0.15622735037099728
V_2,Tian_2,8.3,8.1,3.0,0.015196721950455072
V_2,Tian_2,8.3,8.3,6.0,0.0849431888426312
V_2,Tian_2,8.3,8.5,6.0,0.0849431888426312
V_2,Tian_2,8.3,8.7,10.0,0.1550811041693591
V_2,Tian_2,8.3,8.9,10.0,0.1550811041693591
V_2,Tian_2,8.3,9.1,14.0,0.19599219832676146
V_2,Tian_2,8.3,9.3,13.0,0.21693403178223797
V_2,Tian_2,8.3,9.5,17.0,0.24462515434461285
V_2,Tian_2,8.3,9.7,15.0,0.2691190547608413
V_2,Tian_2,8.3,9.9,19.0,0.289668821094645
V_2,Tian_2,8.3,10.1,16.0,0.3149774145996146
V_2,Tian_2,8.3,10.3,20.0,0.33176112236456495
V_2,Tian_2,8.3,10.5,20.0,0.36362744217364396
V_2,Tian_2,8.3,10.7,16.0,0.3799668192869881
V_2,Tian_2,8.3,10.9,20.0,0.39307401569851363
V_2,Tian_2,8.3,11.1,16.0,0.40768719395505926
V_2,Tian_2,8.3,11.3,20.0,0.41727462867384063
V_2,Tian_2,8.3,11.5,16.0,0.4299106746306986
V_2,Tian_2,8.3,11.7,20.0,0.4388649203422526
V_2,Tian_2,8.3,11.9,16.0,0.4488571620717241
V_2,Tian_2,8.3,12.1,20.0,0.45413634679322296
V_2,Tian_2,8.3,12.3,16.0,0.4627655394403172
V_2,Tian_2,8.3,12.5,20.0,0.46780683327415495
V_2,Tian_2,8.3,12.700000000000001,16.0,0.47338284125653973
V_2,Tian_2,8.3,12.9,20.0,0.47518670524643014
V_2,Tian_2,8.3,13.1,20.0,0.48035716546342117
V_2,Tian_2,8.3,13.3,16.0,0.48177598103215935
V_2,Tian_2,8.3,13.5,20.0,0.48005581774740974
V_2,Tian_2,8.3,13.700000000000001,16.0,0.4812565007644575
V_2,Tian_2,8.3,13.9,20.0,0.47662884175815573
V_2,Tian_2,8.3,14.1,16.0,0.473793050045318
V_2,Tian_2,8.3,14.3,20.0,0.46757475469456117
V_2,Tian_2,8.3,14.5,16.0,0.46386790306670345
V_2,Tian_2,8.3,14.700000000000001,20.0,0.4555503432632114
V_2,Tian_2,8.3,14.9,16.0,0.44906876192053397
V_2,Tian_2,8.3,15.1,20.0,0.43832798359514846
V_2,Tian_2,8.3,15.3,16.0,0.4296161883418328
V_2,Tian_2,8.3,15.5,20.0,0.4176652292198983
V_2,Tian_2,8.3,15.700000000000001,20.0,0.3935846997495267
V_2,Tian_2,8.3,15.9,16.0,0.381305481364025
V_2,Tian_2,8.3,16.1,20.0,0.3646477730427966
V_2,Tian_2,8.3,16.3,16.0,0.350239690291185
V_2,Tian_2,8.3,16.5,20.0,0.3298818131492629
V_2,Tian_2,8.3,16.700000000000003,16.0,0.31351104886317704
V_2,Tian_2,8.3,16.9,20.0,0.29559024644572535
V_2,Tian_2,8.3,17.1,16.0,0.2770224598741166
V_2,Tian_2,8.3,17.3,20.0,0.255983482829084
V_2,Tian_2,8.3,17.5,16.0,0.23555046394108234
V_2,Tian_2,8.3,17.700000000000003,16.0,0.23555046394108234
V_2,Tian_2,8.3,17.9,12.0,0.21472830533548207
V_2,Tian_2,8.5,8.1,3.0,0.015196721950455072
V_2,Tian_2,8.5,8.3,6.0,0.0849431888426312
V_2,Tian_2,8.5,8.5,6.0,0.0849431888426312
V_2,Tian_2,8.5,8.7,10.0,0.1550811041693591
V_2,Tian_2,8.5,8.9,10.0,0.1550811041693591
V_2,Tian_2,8.5,9.1,14.0,0.19599219832676146
V_2,Tian_2,8.5,9.3,13.0,0.21693403178223797
V_2,Tian_2,8.5,9.5,17.0,0.24462515434461285
V_2,Tian_2,8.5,9.7,15.0,0.2691190547608413
V_2,Tian_2,8.5,9.9,19.0,0.289668821094645
V_2,Tian_2,8.5,10.1,16.0,0.3149774145996146
V_2,Tian_2,8.5,10.3,20.0,0.33176112236456495
V_2,Tian_2,8.5,10.5,20.0,0.36362744217364396
V_2,Tian_2,8.5,10.7,16.0,0.3799668192869881
