roi,roi_label,beta_brain_delta,beta_interaction_M_nn,beta_interaction_M_conv,beta_interaction_M_div,window_index,window_start,window_end,window_center,n_subjects,n_pairs,coupling_mean,coupling_sd,coupling_se,ci_low,ci_high
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,1,8.0,10.5,9.25,7,21,0.2997881323668577,0.19773662199725303,0.04314966847463248,0.20977950116713534,0.38979676356658005
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,2,8.833333333333334,11.333333333333334,10.083333333333334,7,21,0.6759006319460127,0.1360507291202797,0.02968870307369593,0.6139710825375541,0.7378301813544713
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,3,9.666666666666666,12.166666666666666,10.916666666666666,7,21,0.8549545193236566,0.09761610048386539,0.02130157950065374,0.8105202031162657,0.8993888355310475
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,4,10.5,13.0,11.75,7,21,0.9757726587464501,0.058620917210114476,0.012792132877289957,0.9490887371518557,1.0024565803410446
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,5,11.333333333333334,13.833333333333334,12.583333333333334,6,15,1.0512056621224994,0.018159700628390167,0.004688814540391165,1.0411491551141572,1.0612621691308417
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,6,12.166666666666668,14.666666666666668,13.416666666666668,6,15,1.053706229201019,0.014406329729376485,0.0037196983414565284,1.0457282697151964,1.0616841886868418
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,7,13.0,15.5,14.25,7,21,1.0513408897981793,0.020939069515064426,0.004569279573082143,1.0418095396283915,1.060872239967967
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,8,13.833333333333334,16.333333333333336,15.083333333333336,7,21,1.0469737613906098,0.030935703677998423,0.006750723989578646,1.0328919979057682,1.0610555248754514
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,9,14.666666666666668,17.166666666666668,15.916666666666668,7,21,1.0524823940444326,0.03958054114375276,0.00863718218278862,1.0344655477237596,1.0704992403651055
L_1,LH_Vis_1,0.802491631173545,-0.2248416454091017,0.737264234991925,0.4140179853589282,10,15.5,18.0,16.75,7,21,1.0665240756649361,0.05691102647786117,0.012419004129163566,1.0406184870000574,1.0924296643298148
