roi,roi_label,beta_brain_delta,beta_interaction_M_nn,beta_interaction_M_conv,beta_interaction_M_div,window_index,window_start,window_end,window_center,n_subjects,n_pairs,coupling_mean,coupling_sd,coupling_se,ci_low,ci_high
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,1,8.0,10.5,9.25,7,21,0.2881908021298942,0.201098025335692,0.043883186819378854,0.19665207847513194,0.3797295257846564
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,2,8.833333333333334,11.333333333333334,10.083333333333334,7,21,0.6706150760240484,0.1375899629207887,0.03002459142622293,0.607984875789856,0.7332452762582407
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,3,9.666666666666666,12.166666666666666,10.916666666666666,7,21,0.8517340460114531,0.09807029829634703,0.021400693589043288,0.8070929814385724,0.8963751105843337
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,4,10.5,13.0,11.75,7,21,0.9728698589983515,0.05806109114399608,0.012669968814242486,0.9464407671738436,0.9992989508228595
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,5,11.333333333333334,13.833333333333334,12.583333333333334,6,15,1.0460641818195984,0.018415454295299866,0.004754849853236015,1.035866043151334,1.0562623204878627
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,6,12.166666666666668,14.666666666666668,13.416666666666668,6,15,1.0454636219066111,0.016163432828967105,0.004173380410942122,1.0365126111576093,1.054414632655613
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,7,13.0,15.5,14.25,7,21,1.0399618050139363,0.02318451532102323,0.005059276019497731,1.0294083401676355,1.0505152698602371
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,8,13.833333333333334,16.333333333333336,15.083333333333336,7,21,1.0331552128516583,0.03334781647433995,0.0072770901550075345,1.0179754687858547,1.048334956917462
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,9,14.666666666666668,17.166666666666668,15.916666666666668,7,21,1.037067367408029,0.041951206730319136,0.009154503825544207,1.0179714070500885,1.0561633277659697
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,10,15.5,18.0,16.75,7,21,1.0497478267813807,0.059785781064921786,0.013046327010098174,1.0225336655172388,1.0769619880455226
