roi,roi_label,beta_brain_delta,beta_interaction_M_nn,beta_interaction_M_conv,beta_interaction_M_div,window_index,window_start,window_end,window_center,n_subjects,n_pairs,coupling_mean,coupling_sd,coupling_se,ci_low,ci_high
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,1,8.0,10.5,9.25,7,21,0.300369835997327,0.19653050371208866,0.04288647188706886,0.21091022325870745,0.3898294487359465
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,2,8.833333333333334,11.333333333333334,10.083333333333334,7,21,0.6738660284125549,0.1346891174440605,0.029391575046390683,0.6125562772082133,0.7351757796168966
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,3,9.666666666666666,12.166666666666666,10.916666666666666,7,21,0.8509585201101031,0.09617301410596088,0.02098667223583912,0.807181088946394,0.8947359512738122
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,4,10.5,13.0,11.75,7,21,0.9696337038622905,0.05713272460474722,0.01246738262668191,0.943627199419955,0.9956402083046261
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,5,11.333333333333334,13.833333333333334,12.583333333333334,6,15,1.0420227005753404,0.01772676789060791,0.004577031788160588,1.032205943725921,1.0518394574247598
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,6,12.166666666666668,14.666666666666668,13.416666666666668,6,15,1.042111541921334,0.015139303877579236,0.0039089514527358505,1.0337276748817927,1.0504954089608753
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,7,13.0,15.5,14.25,7,21,1.0372531853792524,0.02164926529498421,0.004724256997830744,1.0273985579662877,1.047107812792217
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,8,13.833333333333334,16.333333333333336,15.083333333333336,7,21,1.0311542658391575,0.031542539023100696,0.006883146318307495,1.0167962742169856,1.0455122574613294
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,9,14.666666666666668,17.166666666666668,15.916666666666668,7,21,1.0353180435096805,0.03994842529731915,0.008717461086631132,1.0171337383300056,1.0535023486893553
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,10,15.5,18.0,16.75,7,21,1.0480156621265444,0.05729943580145431,0.012503761992306048,1.0219332716572822,1.0740980525958066
